t,x
48512,8.636357896969312e-06
48513,8.523210138575252e-06
48514,8.409119529350073e-06
48515,8.295137238157178e-06
48516,8.183154425964025e-06
48517,8.075686032837726e-06
48518,7.973449866229109e-06
48519,7.877307493885693e-06
48520,7.791097794764088e-06
48521,7.7185235696322e-06
48522,7.657759650623014e-06
48523,7.60190306057741e-06
48524,7.546446966047855e-06
48525,7.492044283727921e-06
48526,7.439593560893486e-06
48527,7.388240259087276e-06
48528,7.336094106965352e-06
48529,7.2820228290679765e-06
48530,7.226216238655844e-06
48531,7.1682650673197245e-06
48532,7.1091016135176964e-06
48533,7.052582297970811e-06
48534,7.001064526494068e-06
48535,6.951748755232987e-06
48536,6.900976524922681e-06
48537,6.848263044795592e-06
48538,6.793823386867884e-06
48539,6.737835573430071e-06
48540,6.681196009897296e-06
48541,6.625418371598414e-06
48542,6.571891134617901e-06
48543,6.5204496853288055e-06
48544,6.472034982327123e-06
48545,6.42804192975133e-06
48546,6.385501796092666e-06
48547,6.3411947759936355e-06
48548,6.295504630722093e-06
48549,6.248338968348679e-06
48550,6.198727794019321e-06
48551,6.147573716593087e-06
48552,6.095779386834274e-06
48553,6.043068413354143e-06
48554,5.991110145751994e-06
48555,5.942759736526551e-06
48556,5.8976566477968575e-06
48557,5.852548060428141e-06
48558,5.805658621763387e-06
48559,5.757315578604838e-06
48560,5.7072007534501665e-06
48561,5.655063851853515e-06
48562,5.6018568015768675e-06
48563,5.5483760140398975e-06
48564,5.49525064291138e-06
48565,5.442320225032075e-06
48566,5.388217067450674e-06
48567,5.332585743923575e-06
48568,5.2759694555417214e-06
48569,5.2203197378167224e-06
48570,5.169407582094751e-06
48571,5.1242219844695325e-06
48572,5.081597678399878e-06
48573,5.038818499215189e-06
48574,4.996965661380351e-06
48575,4.958006241201389e-06
48576,4.92118093763921e-06
48577,4.88628373070173e-06
48578,4.855678601531364e-06
48579,4.83051112582787e-06
48580,4.810121963540691e-06
48581,4.794446302511887e-06
48582,4.783833876406133e-06
48583,4.776980715181705e-06
48584,4.770308267348227e-06
48585,4.761844035628657e-06
48586,4.7535746387470596e-06
48587,4.745883196941361e-06
48588,4.7368537964037205e-06
48589,4.726092254632526e-06
48590,4.714257228572106e-06
48591,4.7032720067572684e-06
48592,4.694349814209208e-06
48593,4.6875139798827045e-06
48594,4.683887714941281e-06
48595,4.684677834397618e-06
48596,4.68957984890758e-06
48597,4.697212393240486e-06
48598,4.706193924157014e-06
48599,4.7144619945785e-06
48600,4.720356263585034e-06
48601,4.725438072010563e-06
48602,4.732810328446831e-06
48603,4.742308766216127e-06
48604,4.752203752161574e-06
48605,4.764081968559971e-06
48606,4.778957677947434e-06
48607,4.7939718466480445e-06
48608,4.807778855940062e-06
48609,4.824960073354819e-06
48610,4.849706931256271e-06
48611,4.8792919992622705e-06
48612,4.910339369489379e-06
48613,4.941590636955691e-06
48614,4.970123243772933e-06
48615,4.99366021534813e-06
48616,5.012084640415517e-06
48617,5.0259053172033685e-06
48618,5.036855877481122e-06
48619,5.048361576855132e-06
48620,5.063188133557613e-06
48621,5.082147035988148e-06
48622,5.1061360117837185e-06
48623,5.133636358091816e-06
48624,5.1621593765117565e-06
